,T1.txt,T10.txt,T2.txt,T3.txt,T4.txt,T5.txt,T6.txt,T7.txt,T8.txt,T9.txt
admittedli,0,0,0,1,0,0,0,0,0,0
adopt,0,0,0,0,1,0,0,0,0,0
advanc,1,0,8,0,1,0,2,1,2,4
advantag,0,1,4,4,1,0,0,0,0,0
advent,0,0,0,0,0,0,0,0,0,1
adventur,0,1,4,0,0,0,0,0,0,1
aegir,0,0,0,0,0,0,0,0,2,2
aerat,0,0,1,0,0,0,0,0,0,0
aerolit,0,0,0,1,0,0,0,0,0,0
affair,0,0,0,1,0,0,0,0,1,0
affect,7,1,1,4,1,0,0,0,0,0
affection,0,0,1,0,0,0,0,0,0,0
affin,0,0,1,0,0,0,0,0,0,0
afford,0,0,1,0,0,0,0,0,0,1
africa,0,0,3,1,0,0,0,0,0,2
african,0,1,0,0,0,0,0,0,0,0
afterward,0,1,1,1,0,0,0,0,0,0
agassiz,0,0,0,1,0,0,0,0,0,0
age,8,0,28,9,1,1,0,1,7,7
agenc,0,0,0,0,0,1,0,0,1,5
agent,0,0,1,1,0,0,0,0,1,0
agglomer,0,0,0,0,0,1,0,0,0,0
agit,5,0,0,0,0,0,0,0,0,0
ago,7,0,2,3,0,0,0,0,4,4
agre,0,0,0,0,0,0,0,0,10,1
agreement,3,0,0,0,0,0,0,0,18,0
ahead,0,0,0,0,0,0,1,0,1,0
aid,0,0,1,0,0,0,0,0,1,0
aim,0,0,0,1,0,0,0,0,0,2
aimless,0,1,0,0,0,0,0,0,0,0
air,9,0,23,5,0,8,1,1,2,2
ak,0,0,0,0,0,0,0,0,1,0
alacr,0,2,0,0,0,0,0,0,0,0
alaska,0,0,1,0,0,0,0,0,0,0
albatro,0,0,1,0,0,0,0,0,0,0
albatross,0,0,0,0,0,0,0,0,0,1
albumin,0,0,0,1,0,0,0,0,0,0
alchemi,1,0,0,0,0,0,0,0,0,0
alfr,0,0,0,0,0,0,0,0,1,0
alg,0,0,2,0,0,0,0,0,0,0
algol,0,0,0,0,3,0,0,0,0,0
aliv,0,0,1,0,1,0,0,0,0,0
allantoi,0,0,2,0,0,0,0,0,0,0
alli,0,0,2,0,0,0,0,0,0,0
allig,0,1,1,0,0,0,0,0,0,1
allot,0,0,1,0,0,0,0,0,0,0
allow,0,0,2,2,2,0,0,2,2,0
almanac,0,0,0,0,2,0,0,0,0,0
almost,1,3,4,6,1,0,1,1,2,8
alon,0,0,1,0,0,0,0,1,1,0
along,4,3,3,5,4,2,0,1,0,1
alongsid,0,0,0,2,0,0,0,0,0,0
alp,1,0,0,0,0,0,0,0,0,0
alpha,2,0,0,0,1,0,0,0,0,1
alpin,0,0,1,0,0,0,0,0,0,0
alreadi,2,0,2,1,4,1,1,1,5,1
alsatian,0,1,0,0,0,0,0,0,0,1
also,7,1,16,3,3,3,2,2,12,6
altamira,0,0,0,0,0,0,0,0,0,2
alter,1,1,0,1,0,0,0,0,2,0
altern,2,0,1,1,0,0,0,0,1,1
although,1,1,3,1,0,2,0,1,5,2
altogeth,1,1,2,2,2,0,0,0,0,0
alway,0,2,2,8,0,2,4,1,1,3
amaru,0,0,0,0,0,0,0,0,0,1
amateur,1,0,0,0,0,0,0,0,0,0
amaz,0,0,0,0,0,0,0,1,0,0
amazingli,1,0,0,0,0,0,0,0,0,0
america,0,0,8,0,0,0,0,0,0,1
american,1,0,0,0,0,1,0,0,0,1
americana,0,0,0,0,0,0,0,0,0,1
amid,0,1,0,0,0,0,0,0,0,0
ammoniac,1,0,0,0,0,0,0,0,0,0
amnion,0,0,2,0,0,0,0,0,0,0
amniota,0,0,1,0,0,0,0,0,0,0
amoeb,0,0,0,2,0,0,0,0,0,0
amoeba,0,0,0,5,0,0,0,0,0,1
amoeboid,0,0,1,3,0,0,0,0,0,0
among,0,1,16,7,0,0,0,0,0,2
amongst,2,0,0,0,1,3,0,0,1,1
amount,4,2,4,2,5,0,1,2,1,1
amphibian,0,1,27,0,0,0,0,0,0,1
analys,0,0,0,0,2,1,0,4,0,1
analysi,0,0,0,0,1,0,0,1,0,0
analyst,0,0,0,0,0,0,0,0,0,1
analyt,0,0,0,0,1,0,0,0,0,0
anamnia,0,0,1,0,0,0,0,0,0,0
anatom,0,0,3,0,0,0,0,0,0,1
anatomi,0,0,1,0,0,0,0,0,0,0
anatomis,0,0,0,0,0,0,0,0,0,1
ancestor,0,0,5,3,0,0,0,0,0,1
ancestr,0,0,1,1,0,0,0,0,0,0
ancestri,0,0,2,0,0,0,0,0,0,0
anchor,0,0,1,0,0,0,0,0,0,0
ancient,1,0,15,4,0,0,0,0,1,0
andromeda,0,0,0,0,0,0,0,0,0,2
anemon,0,0,0,7,0,0,0,0,0,3
anger,0,0,1,0,0,0,0,0,0,0
angl,0,0,1,1,3,1,0,2,0,0
anguilla,0,0,0,0,0,0,0,0,0,1
anim,0,5,79,85,0,0,2,0,1,20
animalcul,0,0,1,7,0,0,0,0,0,0
announc,0,0,0,0,1,0,0,0,0,0
annual,0,0,1,0,0,0,0,0,0,0
anoth,17,3,12,18,9,1,1,4,5,8
answer,0,0,6,10,1,1,0,0,3,3
ant,0,7,5,0,0,0,0,0,0,1
antagonist,0,0,1,0,0,0,0,0,0,0
antenna,0,0,1,0,0,0,0,0,0,0
anthropoid,0,0,2,0,0,0,0,0,0,1
anti,0,0,1,0,0,0,0,0,0,0
anticip,0,0,0,1,0,0,0,0,0,1
antiqu,0,0,1,1,0,0,0,0,0,0
antler,0,0,1,1,0,0,0,0,0,0
anvil,0,5,0,0,0,0,0,0,0,1
anxiou,0,1,0,0,0,0,0,1,0,0
anyhow,0,0,1,0,0,0,0,0,0,0
anyon,1,0,0,1,0,0,0,1,4,1
anyth,1,0,0,0,0,1,0,0,2,1
anywher,0,0,0,0,0,0,0,0,1,2
apac,0,0,1,0,0,0,0,0,0,0
apart,0,0,3,5,1,0,0,1,0,1
ape,0,0,2,0,0,0,0,0,0,5
apennin,0,0,0,0,0,1,0,0,0,0
appar,1,0,1,1,2,0,1,0,0,3
apparatu,6,0,0,0,0,0,0,0,0,1
appear,5,0,10,5,4,3,1,5,4,3
append,0,0,0,0,0,0,0,0,0,1
appendag,0,1,1,1,0,0,0,0,0,0
appli,2,1,0,4,0,1,0,0,3,0
applic,0,0,0,0,0,0,0,0,3,0
appreci,0,2,1,1,0,1,0,0,0,1
apprehend,0,0,0,0,0,0,0,0,0,1
apprehens,0,0,0,0,0,1,0,0,0,0
apprenticeship,0,0,1,0,0,0,0,0,0,1
approach,1,0,0,0,2,2,1,0,1,0
appropri,0,1,0,2,0,1,0,0,0,0
approxim,0,0,2,0,3,2,0,0,0,3
april,0,0,0,0,0,0,0,0,0,4
apt,1,2,0,3,0,0,0,0,0,0
aptitud,0,4,0,0,0,0,0,0,0,1
aquat,0,0,3,0,0,0,0,0,0,1
arbor,0,0,3,0,0,0,0,0,0,2
arc,0,0,0,1,0,0,0,0,0,1
arch,0,0,7,0,0,0,0,0,0,1
archaic,0,0,2,0,0,0,0,0,0,0
architectur,0,0,1,0,0,0,0,0,0,1
archiv,0,0,0,0,0,0,0,0,13,0
arctic,0,0,0,0,0,0,1,0,0,0
arcturu,0,0,0,0,1,0,0,0,0,0
area,0,0,4,4,3,0,1,1,0,1
argonauta,0,0,0,0,0,0,0,0,0,1
argu,0,0,0,0,0,0,0,1,0,0
argument,1,0,0,0,1,0,1,0,0,0
arid,0,0,1,0,0,0,0,0,0,0
aris,1,0,2,3,0,0,0,0,1,0
arisen,0,0,0,3,0,0,0,0,0,0
arm,0,0,4,0,4,4,0,0,0,3
armadillo,0,0,1,0,0,0,0,0,0,0
armour,0,0,3,0,0,0,0,0,0,0
arno,0,1,0,0,0,0,0,0,0,0
aros,0,0,2,0,0,0,0,0,0,0
around,2,1,1,2,1,0,0,0,0,2
arrang,10,0,1,1,0,0,0,1,0,3
array,0,0,0,0,0,0,0,0,1,0
arrheniu,0,0,0,0,0,0,0,0,1,0
arriv,0,1,0,1,0,0,0,0,0,0
arrow,1,0,0,0,0,0,1,0,0,0
art,0,1,0,0,0,0,0,0,0,0
arthropod,0,0,2,0,0,0,0,0,0,0
arthur,0,0,0,0,0,0,0,0,1,6
articl,0,0,0,0,0,0,0,0,0,4
artifici,4,0,0,3,0,0,0,0,0,0
artist,0,0,0,0,0,0,0,0,0,1
ascend,0,0,0,1,0,0,0,0,0,1
ascent,0,0,1,0,0,0,0,0,0,2
ascertain,0,0,0,0,0,0,1,0,0,0
ascet,0,0,1,0,0,0,0,0,0,0
ascii,0,0,0,0,0,0,0,0,2,0
ascrib,0,0,0,0,0,0,0,0,1,0
asexu,0,0,0,4,0,0,0,0,0,0
ash,0,0,0,1,0,0,0,0,0,0
asia,0,0,1,0,0,0,0,0,0,1
asid,0,0,0,0,0,0,0,0,0,1
ask,3,0,2,0,2,0,1,0,1,0
aspect,3,0,1,2,0,0,0,0,2,0
assert,0,0,1,0,0,0,0,0,0,0
assist,0,0,0,1,0,0,0,0,1,0
associ,3,0,5,7,0,0,0,0,9,2
assort,0,0,0,1,0,0,0,0,0,0
assum,2,0,0,0,0,0,0,1,1,0
assuredli,0,0,1,0,0,0,0,0,0,0
asteria,0,0,0,0,0,0,0,0,0,1
astonish,0,0,0,0,0,0,0,1,0,1
astound,0,0,2,0,0,0,0,0,0,0
astronom,0,0,0,0,11,5,9,2,1,18
astronomi,0,0,0,0,13,0,0,2,1,8
astrophys,0,0,0,0,1,1,0,0,0,1
asymmetr,0,0,1,0,0,0,0,0,0,0
atmospher,2,0,2,5,0,5,4,0,1,5
atom,82,0,0,2,0,0,0,4,5,12
atromaculatu,0,0,0,0,0,0,0,0,0,1
attach,0,1,1,0,0,0,0,0,1,1
attack,0,1,0,0,0,0,0,0,0,2
attain,0,0,6,0,0,0,0,1,1,0
attempt,1,1,2,0,0,0,0,0,1,0
attend,2,3,1,0,0,0,2,0,0,0
attent,0,1,0,0,1,0,0,0,0,1
attenu,0,0,0,0,0,1,0,0,0,0
attitud,0,0,0,0,0,0,0,0,0,1
attract,4,0,1,2,0,0,0,3,3,1
attribut,1,0,0,1,0,0,0,1,0,0
august,0,0,0,0,0,0,1,0,0,1
auror,0,0,0,0,0,0,0,1,0,0
aurora,0,0,0,0,0,1,0,3,0,1
australia,0,0,3,0,0,0,0,0,0,3
australian,0,0,0,0,0,0,0,0,0,2
author,2,0,0,1,0,0,1,0,1,1
automat,0,0,0,2,0,0,0,0,0,0
autumn,0,1,0,0,0,0,0,0,0,0
aux,0,0,0,0,0,0,0,0,0,1
avail,0,1,0,0,0,0,0,0,2,0
avalanch,0,0,1,0,0,0,0,0,0,0
averag,0,1,0,1,0,0,0,0,0,1
avocet,0,0,0,0,0,0,0,0,0,1
avoid,0,0,0,2,0,0,0,1,0,0
await,0,0,0,0,0,0,0,0,1,0
awaken,0,0,0,1,0,0,0,0,0,0
awar,0,1,2,1,0,0,1,0,1,0
away,0,2,5,0,3,3,2,4,7,10
awkward,0,2,0,0,0,0,0,0,0,0
axe,0,0,0,0,0,0,0,0,0,1
axi,0,0,0,1,1,1,4,0,7,1
b,1,0,5,2,1,0,0,0,3,0
babi,0,0,0,0,0,0,0,0,0,3
back,4,2,8,5,0,0,0,1,5,3
backbon,0,0,4,2,0,0,0,0,0,0
backboneless,0,0,4,1,0,0,0,0,0,1
background,0,0,0,0,0,0,0,0,0,2
backward,0,0,3,2,0,0,0,0,0,0
bacteria,0,0,1,4,0,0,0,0,0,1
bad,0,0,0,2,0,0,0,0,0,0
bag,0,0,1,1,0,0,0,0,0,0
balanc,0,1,1,0,0,0,0,0,0,2
ball,2,0,2,2,2,0,0,0,0,2
band,1,0,0,0,1,0,0,0,0,2
bank,0,3,0,0,0,0,0,0,0,0
bare,0,0,0,0,0,0,0,0,1,0
bark,0,1,0,0,0,0,0,0,0,0
barnard,0,0,0,0,0,0,0,1,0,1
baron,0,0,1,0,0,0,0,0,0,1
barrel,1,0,0,0,0,0,0,0,0,0
barrier,0,0,1,0,0,0,0,0,0,0
basalt,0,0,0,1,0,0,0,0,0,0
base,2,1,0,0,1,0,0,0,2,2
basi,2,0,1,2,1,0,1,0,1,0
basin,0,0,3,1,0,0,0,0,0,0
bask,0,1,0,0,0,0,0,0,0,0
basket,0,0,0,0,0,0,0,0,0,1
bat,0,0,4,0,0,0,0,0,0,0
bath,0,1,0,0,0,0,0,0,0,0
batteri,2,0,0,0,0,0,0,0,0,0
bavaria,0,0,1,0,0,0,0,0,0,0
bay,0,0,0,0,0,0,0,0,1,0
bayliss,0,0,0,0,0,0,0,0,0,1
beak,0,1,0,0,0,0,0,0,0,0
bear,0,2,4,1,0,1,0,0,2,1
beast,0,0,1,0,0,0,0,0,0,0
beat,0,2,0,0,0,0,0,0,0,0
beauti,3,0,1,4,0,0,1,1,0,1
beaver,0,3,1,0,0,0,0,0,0,1
becam,1,1,7,1,0,0,0,2,6,0
becom,15,0,17,17,2,3,0,1,5,6
bed,1,0,2,1,0,0,1,0,0,0
bee,0,7,2,1,0,0,0,0,0,0
beetl,0,0,1,0,0,0,0,0,0,2
began,0,1,11,3,0,2,2,0,3,1
begin,3,1,6,33,2,2,0,1,2,12
beginn,0,0,0,0,1,0,0,0,0,0
begun,0,1,1,1,0,0,0,0,0,0
behav,2,0,0,2,0,0,0,1,0,0
behaviour,0,10,17,11,0,0,0,0,0,2
behind,3,0,1,1,0,1,0,0,1,3
behold,0,0,0,0,1,0,0,0,0,0
belief,0,0,0,0,0,0,1,1,0,0
believ,2,2,2,1,1,2,5,1,1,2
bell,10,0,1,0,0,0,0,0,0,0
belong,1,0,1,0,0,0,0,0,0,1
belt,0,0,0,0,0,0,1,1,0,2
beneath,0,1,1,0,0,0,0,0,0,1
benefactress,0,1,0,0,0,0,0,0,0,0
benefici,0,0,1,0,0,0,0,0,0,0
benefit,0,0,1,0,0,0,0,0,0,0
benevol,0,0,1,0,0,0,0,0,0,0
bent,1,0,0,0,0,0,0,0,0,0
berenic,0,0,0,0,2,0,0,0,0,0
berri,0,0,1,0,0,0,0,0,0,0
berridg,0,1,1,0,0,0,0,0,0,9
berthelot,0,0,0,1,0,0,0,0,0,0
beset,0,0,0,1,0,0,0,0,0,0
besid,2,2,4,3,1,2,1,1,0,0
best,1,0,1,1,0,1,0,3,0,1
beta,2,0,0,0,0,0,0,0,0,0
betelgeux,0,0,0,0,0,1,0,0,0,0
betoken,0,1,0,0,0,0,0,0,0,0
better,0,0,2,1,0,1,0,1,0,1
beun,0,0,0,0,0,0,0,0,0,1
beyond,3,1,3,1,1,1,0,1,2,0
bibliographi,0,0,1,0,1,0,0,0,1,1
bid,0,0,0,0,0,0,0,0,0,1
big,1,5,6,2,1,0,1,0,1,4
bigger,0,0,0,1,0,0,0,0,0,0
biggest,0,0,0,1,0,0,0,0,0,0
bilater,0,0,0,3,0,0,0,0,0,0
bill,1,4,2,0,0,0,0,0,0,8
binari,0,0,0,0,0,0,0,0,1,0
bind,0,0,2,0,0,0,0,0,0,0
binocular,0,0,0,0,1,0,0,0,0,0
biolog,0,0,1,1,0,0,0,0,0,1
biologist,0,0,0,0,0,0,0,0,1,0
bipe,0,0,2,0,0,0,0,0,0,1
bird,0,37,52,4,0,0,0,0,0,9
birgu,0,0,0,0,0,0,0,0,0,1
birth,0,0,1,2,3,1,0,0,0,1
birthplac,0,0,1,0,0,0,0,0,0,0
biscuit,0,1,0,0,0,0,0,0,0,0
bison,0,0,0,0,0,0,0,0,0,2
bit,0,0,0,1,0,1,0,0,0,0
bite,0,0,0,1,0,0,0,0,0,0
bitten,0,0,0,1,0,0,0,0,0,0
bitterl,0,0,1,0,0,0,0,0,0,1
bittern,0,0,0,0,0,0,0,0,0,1
black,2,0,0,0,0,2,0,0,0,0
bladder,0,0,2,0,0,0,0,0,0,0
blade,0,0,1,0,0,0,0,0,0,0
blanket,0,0,0,1,0,1,0,0,0,0
blaze,0,0,0,0,3,1,0,0,0,0
blend,1,0,0,0,0,0,0,0,0,0
blood,0,0,9,7,0,0,0,0,0,1
bloom,0,0,1,0,0,0,0,0,0,0
blossom,0,0,1,0,0,0,0,0,0,0
blotch,0,0,0,0,0,0,1,0,0,0
blow,0,0,0,0,0,0,0,1,0,0
bloweth,0,0,0,0,0,0,0,0,0,1
blown,0,0,0,1,0,0,0,0,0,0
blue,10,0,2,0,0,1,0,2,0,1
boar,0,0,0,0,0,0,0,0,0,1
board,0,0,0,1,0,0,0,0,0,2
boarder,0,0,1,0,0,0,0,0,0,0
bodi,18,0,14,45,0,1,2,11,18,17
bodili,0,0,2,3,0,0,0,0,0,0
bodyguard,0,0,1,0,0,0,0,0,0,0
boil,1,0,0,1,0,1,1,1,2,1
bolt,0,1,0,1,0,0,0,0,0,0
bolton,0,0,0,0,0,0,0,0,0,3
bon,1,0,0,0,0,0,0,0,0,0
bond,0,0,0,0,0,0,0,0,1,0
bone,0,0,11,0,0,0,0,0,0,0
boni,0,0,1,0,0,0,0,0,0,0
book,0,0,2,1,4,0,0,0,1,7
booti,0,1,0,0,0,0,0,0,0,0
bore,1,0,0,0,0,0,0,0,0,0
boreali,0,0,0,0,0,1,0,2,0,1
born,0,0,5,1,0,1,0,0,0,0
bottom,1,0,0,0,1,0,0,0,0,0
bound,1,0,2,3,0,0,0,1,2,1
boundari,0,1,0,0,0,0,0,0,0,0
box,0,1,1,3,0,0,0,0,0,0
boy,1,0,1,0,0,0,0,0,0,0
brackish,0,0,1,0,0,0,0,0,0,0
bragg,1,0,0,0,0,0,0,0,0,1
brain,0,8,5,6,0,0,0,0,0,4
brake,0,0,0,1,0,0,0,0,2,0
branch,2,1,5,5,1,0,0,0,0,3
brave,0,0,1,0,0,0,0,0,0,0
brazil,0,0,0,0,0,0,0,1,0,1
brazilian,0,0,0,0,1,0,0,0,0,0
breach,0,0,0,0,0,0,0,0,2,0
bread,0,0,0,1,0,0,0,0,0,0
break,5,4,0,3,0,0,1,0,0,2
breast,0,0,2,0,0,0,0,0,0,0
breath,0,0,12,1,0,0,0,0,1,0
breather,0,0,2,0,0,0,0,0,0,0
breed,0,0,2,1,0,0,0,0,0,1
bri,0,0,1,0,0,0,0,0,0,0
brian,0,0,0,0,0,0,0,0,1,1
brick,5,0,0,0,0,0,0,0,0,0
bridg,0,1,1,1,0,0,0,0,1,0
brief,0,0,0,0,0,0,0,0,1,0
briefli,1,0,0,0,1,0,0,0,0,0
bright,0,0,0,0,2,1,2,6,0,1
brighten,1,0,0,0,0,0,0,0,0,0
brightest,0,0,0,0,0,0,0,0,0,1
brightli,0,0,2,0,0,0,1,0,0,0
brillianc,0,0,0,0,1,0,0,0,0,0
brilliant,1,0,2,0,0,0,0,1,0,2
brilliantli,0,0,0,0,0,0,0,0,0,1
bring,1,2,6,1,1,0,1,0,0,1
brisker,1,0,0,0,0,0,0,0,0,0
bristl,0,0,0,1,0,0,0,0,0,0
britain,0,0,1,1,0,0,0,0,0,0
british,2,0,5,1,0,1,0,0,0,9
broad,0,0,2,0,1,1,0,0,1,0
broadcast,0,0,1,0,0,0,0,0,0,0
broader,0,0,0,0,0,0,1,0,0,0
brocklehurst,0,0,0,0,0,0,0,0,2,2
broil,0,0,0,0,0,0,1,0,0,0
broke,0,0,0,1,0,0,0,0,0,0
broken,1,4,2,1,0,0,0,3,0,2
brood,0,1,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,0,1,0,0,0
brought,2,2,1,2,1,0,0,0,2,0
brownian,0,0,0,0,0,0,0,0,1,1
brows,0,0,1,0,0,0,0,0,0,0
brute,0,0,2,0,0,0,0,0,0,0
bubbl,1,0,0,0,0,1,0,0,0,1
buckl,0,0,1,1,0,0,0,0,0,0
bud,0,0,0,7,0,0,0,0,0,0
bugbear,1,0,0,0,0,0,0,0,0,0
build,4,1,2,9,1,0,0,0,0,1
built,3,0,0,5,0,0,0,2,0,1
bulk,0,0,0,0,0,0,1,2,1,0
bulki,1,0,0,0,0,0,0,0,0,0
bullet,2,0,0,0,0,0,0,0,0,0
bulli,0,0,1,0,0,0,0,0,0,0
bun,0,1,0,0,0,0,0,0,0,0
bunch,0,0,0,0,0,0,0,0,0,2
buri,0,2,3,0,0,0,0,0,0,0
burn,4,0,0,1,0,1,0,2,0,0
burrow,0,0,5,1,0,0,0,0,0,0
burst,0,0,0,0,1,1,1,0,0,0
busi,0,0,0,1,0,0,0,0,2,0
butterfli,0,0,0,1,0,0,0,0,0,1
button,1,0,0,0,0,0,0,0,0,0
buy,1,0,0,0,0,0,0,0,0,0
bygon,0,0,1,0,0,0,0,0,0,0
c,2,0,3,5,1,0,1,2,6,4
ca,0,0,1,0,0,0,0,0,0,0
cach,0,2,0,0,0,0,0,0,0,0
caffein,0,0,0,1,0,0,0,0,0,0
cagcomb,0,0,0,0,0,0,0,0,0,1
calcar,0,0,1,0,0,0,0,0,0,0
calcium,0,0,0,0,0,0,0,0,0,1
calcul,3,0,3,2,1,0,0,3,3,2
california,0,0,0,1,2,0,0,0,0,0
call,14,6,19,21,3,2,2,7,2,14
callou,0,0,0,1,0,0,0,0,0,0
calm,0,0,1,0,0,0,0,0,0,0
cambrian,0,0,9,0,0,0,0,0,0,1
cambridg,1,0,0,0,0,0,0,0,0,2
came,1,2,6,2,0,0,1,0,0,0
camouflag,0,0,0,0,0,0,0,0,0,1
canal,0,0,3,4,1,0,2,0,0,0
candl,0,0,0,3,0,0,0,0,0,0
cane,0,0,0,0,1,0,0,0,0,0
canin,0,0,1,0,0,0,0,0,0,0
canyon,0,0,0,1,0,0,0,0,0,1
cap,0,0,0,0,0,0,3,1,0,1
capac,1,7,3,1,0,0,0,0,0,0
cape,0,0,1,0,0,0,0,0,0,0
capella,0,0,0,0,1,0,0,0,0,0
captiv,0,1,0,0,0,0,0,0,0,0
captur,0,0,3,2,0,0,0,0,0,2
carapac,0,2,1,0,0,0,0,0,0,0
carbohydr,0,0,0,1,0,0,0,0,0,0
carbon,2,0,0,6,0,0,0,0,0,0
carbonifer,2,0,11,0,0,0,0,0,0,0
carcass,0,1,0,0,0,0,0,0,0,0
card,0,0,3,0,0,0,0,0,1,0
cardboard,2,0,0,0,0,0,0,0,0,0
care,0,0,8,1,0,0,1,1,0,1
carey,0,0,0,0,0,0,0,0,0,1
carnegi,0,0,0,0,0,0,0,2,0,0
carnivor,0,0,2,0,0,0,0,0,0,0
carpet,0,0,0,0,0,0,0,0,0,1
carpo,0,0,1,0,0,0,0,0,0,0
carri,5,0,3,3,0,0,0,0,2,3
carrier,1,0,0,0,0,0,0,0,0,1
case,6,6,18,12,5,6,2,0,3,1
casein,0,0,0,1,0,0,0,0,0,0
cassowari,0,0,0,0,0,0,0,0,0,1
cast,0,0,0,0,0,0,0,0,0,2
casual,0,0,1,0,0,0,0,0,0,0
catch,2,1,0,0,0,0,0,1,0,4
caterpillar,0,2,4,0,0,0,0,0,0,0
caught,0,0,0,0,0,0,0,0,0,1
caus,4,0,0,3,2,0,0,1,8,3
caution,0,0,0,1,0,0,0,0,0,1
cautious,0,0,0,1,0,0,0,0,0,0
cave,0,0,2,0,0,0,0,0,0,3
cavendish,1,0,0,0,0,0,0,0,0,0
cavern,0,0,0,0,0,0,0,0,0,2
caviti,0,0,1,0,0,0,0,1,0,0
ceas,2,0,1,0,0,0,0,1,4,1
celesti,0,0,0,0,1,0,0,0,0,0
cell,4,2,10,79,1,0,0,0,0,1
cellulos,0,0,0,4,0,0,0,0,0,0
cenozo,0,0,5,0,0,0,0,0,0,0
cent,1,0,0,1,0,0,0,0,0,1
centauri,0,0,0,0,1,0,0,0,0,1
centenarian,0,0,0,1,0,0,0,0,0,0
centiped,0,0,3,0,0,0,0,0,0,0
centr,3,0,1,6,3,4,0,2,1,2
central,2,0,2,2,3,2,1,0,0,4
centrifug,0,0,0,0,0,0,0,0,1,0
centrosom,0,0,0,2,0,0,0,0,0,0
centuri,4,0,0,1,3,1,1,0,0,1
cerebr,0,0,0,1,0,0,0,0,0,0
cerebrum,0,0,0,1,0,0,0,0,0,0
certain,4,6,7,12,0,0,1,4,4,4
certainli,1,0,3,0,0,0,2,1,0,2
certainti,0,1,1,0,0,0,0,0,0,0
cessat,0,0,1,0,0,0,0,0,0,0
cetacean,0,0,1,0,0,0,0,0,0,0
chain,0,0,2,3,0,0,0,0,0,0
chalk,0,0,0,3,0,0,0,0,0,1
chalon,0,0,0,1,0,0,0,0,0,0
chamber,0,0,1,0,0,0,0,0,0,0
chamberlin,0,0,0,4,0,0,0,0,0,0
chameleon,0,0,0,0,0,0,0,0,0,1
champion,0,0,1,0,0,0,0,0,0,0
chanc,0,2,2,0,0,0,0,0,0,0
chang,9,0,13,9,0,1,2,5,1,6
channel,0,0,0,0,0,0,1,0,0,0
chaotic,0,0,0,0,0,0,0,0,1,0
chapel,0,0,0,0,0,0,0,0,0,1
chapter,3,0,3,5,1,0,0,1,0,0
charact,0,0,0,2,0,0,0,0,0,1
characterist,0,1,3,3,0,0,0,1,0,3
charg,11,0,0,1,0,0,0,0,7,0
charit,0,0,0,0,0,0,0,0,1,0
chariti,0,0,0,0,0,0,0,0,1,0
charl,0,0,0,1,0,0,0,0,1,1
chart,0,0,0,0,1,0,0,0,0,0
chase,0,0,0,1,0,0,0,0,0,0
